,bed_type,calendar_last_scraped,cancellation_policy,city,country,country_code,experiences_offered,has_availability,host_acceptance_rate,host_has_profile_pic,host_identity_verified,host_is_superhost,host_response_time,instant_bookable,is_location_exact,jurisdiction_names,last_scraped,market,neighbourhood_group_cleansed,property_type,require_guest_phone_verification,require_guest_profile_picture,requires_license,room_type,smart_location,state,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,price,weekly_price,security_deposit,cleaning_fee,extra_people
0,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,241032,20160104002432,956883,3.0,3.0,47.636289038357184,-122.37102519997765,4,1.0,1.0,1.0,2,1,365,14,41,71,346,207,95.0,10.0,10.0,10.0,10.0,9.0,10.0,2,4.07,85.0,567.5573663624511,254.48483177054607,61.71090387374462,5.0
1,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Apartment,t,t,f,Entire home/apt,"Seattle, WA",WA,953595,20160104002432,5177328,6.0,6.0,47.63912312136253,-122.36566646439582,4,1.0,1.0,1.0,1,2,90,13,13,16,291,43,96.0,10.0,10.0,10.0,10.0,10.0,10.0,6,1.48,150.0,567.5573663624511,100.0,40.0,0.0
2,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,f,f,Entire home/apt,"Seattle, WA",WA,3308979,20160104002432,16708587,2.0,2.0,47.629724131577355,-122.3694831756176,11,4.5,5.0,7.0,10,4,30,1,6,17,220,20,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2,1.15,975.0,567.5573663624511,254.48483177054607,300.0,25.0
6,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,f,f,Private room,"Seattle, WA",WA,1909058,20160104002432,2497928,1.0,1.0,47.636605445320065,-122.36851905844937,2,1.0,1.0,1.0,1,3,14,20,49,71,346,58,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.46,80.0,575.0,150.0,61.71090387374462,10.0
7,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Cabin,t,t,f,Private room,"Seattle, WA",WA,856550,20160104002432,4016632,5.0,5.0,47.640160541214655,-122.37585597885769,2,1.0,1.0,1.0,1,2,7,22,42,42,100,173,97.0,10.0,10.0,10.0,10.0,9.0,10.0,5,4.73,60.0,360.0,150.0,25.0,0.0
9,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Apartment,t,t,f,Entire home/apt,"Seattle, WA",WA,2493658,20160104002432,5177328,6.0,6.0,47.63749172022628,-122.3668885909212,4,1.0,1.0,1.0,1,2,365,6,19,49,324,32,97.0,10.0,10.0,10.0,10.0,10.0,9.0,6,1.55,150.0,567.5573663624511,100.0,40.0,0.0
10,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,t,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,t,f,Entire home/apt,"Seattle, WA",WA,175576,20160104002432,239585,1.0,1.0,47.63548170841016,-122.35847776162176,2,1.0,1.0,1.0,2,3,7,0,0,0,153,181,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,3.33,95.0,595.0,254.48483177054607,15.0,15.0
11,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,f,f,Entire home/apt,"Seattle, WA",WA,4454295,20160104002432,4606439,1.0,1.0,47.63721407513561,-122.36004576141458,2,1.0,1.0,1.0,1,3,1125,21,21,21,229,8,97.0,10.0,10.0,9.0,10.0,10.0,9.0,1,0.98,99.0,800.0,500.0,150.0,0.0
12,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,3883392,20160104002432,19932967,1.0,1.0,47.6355455115124,-122.37317075183506,4,1.0,2.0,3.0,1,3,14,30,60,90,362,13,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.92,245.0,567.5573663624511,300.0,95.0,0.0
13,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,f,f,Entire home/apt,"Seattle, WA",WA,8889257,20160104002432,25899989,1.0,1.0,47.629506809234314,-122.3676292967417,5,1.0,2.0,3.0,4,2,1125,13,40,63,337,3,100.0,10.0,10.0,9.0,9.0,10.0,10.0,1,3.0,165.0,567.5573663624511,400.0,85.0,20.0
